nombre;calle;numero;localidad;partido;provincia;codpostal;delegacion;sede;reunion;creacion;socios;vencim;barrio;f_inscripc;desde;hasta
ASOC JYP DEL DEPTO AYACUCHO;AV. CENTENARIO;S/Nº;SAN FRANCISCO;AYACUCHO;19;5705;26;1;L A VIE 8 A 12HS;20-jun-47;40;18-jun-09;;27-nov-84;16-Apr-11;16-Apr-13
C JYP NAC DE SAN FRANCISCO DEL MONTE DE ORO SAN LUIS;AVDA SARMIENTO ;S/Nº;SAN LUIS;DE AYACUCHO;19;5705;26;2;L A V 8 A 13 HS;14-sep-85;230;01-jun-12;;09-jun-86;30-mar-12;30-mar-14
CENTRO DE JYP AGUAS CLARAS;SAN MARTIN;S/N;NOGOLI;BELGRANO;19;5703;26;5;S/ DATO;09-Apr-10;35;10-jun-10;;10-jun-10;09-Apr-10;09-Apr-12
C JYP NAC DE LA CALERA;LA CALERA;S/N;LA CALERA;BELGRANO;19;5719;26;2;LUN. A VIE. 8 A 12 HS.;05-jun-94;50;19-Dec-12;;03-may-94;28-Aug-12;28-Aug-14
ASOC JYP NAC DE CONCARAN;LEANDRO N ALEM ;S/N;CONCARAN;CHACABUCO;19;5770;26;2;L A V 8/13 HS.;19-Dec-90;300;02-Jan-13;;20-mar-91;28-feb-12;28-feb-14
C JP Y RET DE CORTADERAS;SAN MARTIN  S/Nø;;CORTADERAS;CHACABUCO;19;5883;26;5;LU A VIE 8/12;10-nov-86;91;28-mar-06;;27-Apr-95;13-sep-09;13-sep-11
"CENTRO DE JYP ""CELIA DE DIEGO""";JUAN PABLO II;S/N;CORTADERAS;CHACABUCO;19;5883;26;5;L A V 8/13;04-jun-09;61;17-Apr-12;;04-Aug-09;11-mar-12;11-mar-14
C JYP DE NASCHEL;LAFINUR  ;S/Nº;NASCHEL;CHACABUCO;19;5759;26;2;LU A VI 8/12;20-Apr-80;150;23-sep-11;;18-jul-84;06-jul-11;06-jul-13
C JYP DE TILISARAO;SAN MARTIN ;S/Nº;TILISARAO;CHACABUCO;19;5773;26;2;;12-oct-88;400;04-jun-13;;15-jun-90;12-mar-13;12-mar-15
C JYP NAC Y PROV DE VILLA DEL CARMEN;GRANADEROS PUNTANO ;S/Nº;V DEL CARMEN;CHACABUCO;19;5835;26;2;LUN A VIE 8 A 12 HS.;11-sep-89;70;26-nov-09;;06-mar-90;18-feb-12;18-feb-14
C JYP NAC DE VILLA LARCA;VILLA LARCA ;S/N;VILLA LARCA;CHACABUCO;19;5883;26;8;LUN A VIE 8 A 12 HS.;17-may-93;90;17-nov-06;;09-Aug-93;24-Aug-06;24-Aug-08
CENTRO MUTUAL JUSTO DARACT;PRESIDENTE PERON ;41;JUSTO DARACT;PEDERNERA;19;5738;26;2;LU A VI 8 A 13 HS;04-Dec-80;850;26-jul-12;;12-Dec-84;30-jun-12;30-jun-14
MESA COORD NAC DE JYP FILIAL VILLA MERCEDES;LEON GUILLET;121;VILLA MERCEDES;PEDERNERA;19;5730;26;2;LUN. A VIE. 8 A 15 HS.;16-mar-71;1600;17-jul-12;;12-Apr-84;24-jun-12;24-jun-14
CLUB DE LOS ABUELOS DE VILLA MERCEDES;SAN MARTIN;1680;VILLA MERCEDES;PEDERNERA;19;5730;26;2;LUN. A VIE. 8/12-14/18 HS;08-may-82;250;06-jun-13;;13-Apr-93;28-Apr-13;28-Apr-15
CENTRO DE JYP FE Y ESPERANZA;RUTA PROV. 10;S/N;PUNILLA;PEDERNERA;19;5831;26;5;S/ DATO;22-nov-05;52;26-Apr-10;;26-Apr-10;24-feb-10;24-feb-12
"ASOCIACION CIVIL OCHO ""C"" (A.C.O.C.)";BRASIL;979;VILLA MERCEDES;PEDERNERA;19;5730;26;5;L A V 9/12;03-jun-08;93;12-jul-12;;02-feb-09;02-jun-12;02-jun-14
ASOCIACION CIVIL VETERANOS DE GUERRA MALVINAS ARGENTINAS;MITRE;778;VILLA MERCEDES;GENERAL PEDERNERA;19;5730;26;5;S / DATO;12-jun-02;27;04-jun-09;;04-jun-09;30-oct-12;30-oct-14
C JYP CIVILES DEL SUR;4 DE JUNIO; S/N;ANCHORENA;VICENTE DUPUY;19;6389;26;2;LUN.A VIE. 8 A 13 HS.;23-jul-90;70;13-may-13;;02-oct-91;16-feb-13;16-feb-15
C JUB ARIZONA;ARIZONA;S/N;ARIZONA;VICENTE DUPUY;19;6389;26;2;LUN. A VIE. 8 A 12 HS.;09-jun-93;40;13-may-13;;09-feb-96;14-feb-13;14-feb-15
ASOCIACION DE JYP DE BAGUAL;INDEPENDENCIA;198;BAGUAL;GOB. DUPUY;19;6216;26;8;L A V 8 A 12 HS ;23-jul-06;40;19-sep-12;;16-Jan-07;08-jun-12;08-jun-14
MESA COORD JYP DTO V DUPUY SAN LUIS;SAN MARTIN;S/N;BUENA ESPERANZA;VICENTE DUPUY;19;6277;26;2;LUN. A VIE. 8 A12 HS.;16-jul-83;100;09-mar-09;;28-mar-93;29-nov-10;29-nov-12
